City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description,Rain inches (last 3 hrs),Snow inches (last 3 hrs)
53,Thompson,CA,2020-04-18 18:53:29,55.74,-97.86,12.2,56,75,13.87,broken clouds,0.0,0.0
54,Padang,ID,2020-04-18 18:49:44,-0.95,100.35,78.89,77,100,0.98,moderate rain,3.64,0.0
55,Kendari,ID,2020-04-18 18:53:30,-3.94,122.5,76.59,88,93,1.68,overcast clouds,0.0,0.0
56,Isabela,PH,2020-04-18 18:53:30,6.71,121.97,78.8,83,20,1.12,few clouds,0.0,0.0
57,Bluff,NZ,2020-04-18 18:49:04,-46.6,168.33,42.01,93,100,5.01,overcast clouds,0.0,0.0
58,Ketchikan,US,2020-04-18 18:53:31,55.34,-131.65,50.0,76,1,13.87,clear sky,0.0,0.0
59,Ponta Delgada,PT,2020-04-18 18:51:13,37.73,-25.67,62.6,88,40,13.87,scattered clouds,0.0,0.0
60,Kuroiso,JP,2020-04-18 18:53:31,36.97,140.05,51.01,88,100,8.99,light rain,0.56,0.0
61,Itarema,BR,2020-04-18 18:53:31,-2.92,-39.92,84.38,72,30,7.09,light rain,1.22,0.0
62,Yuanping,CN,2020-04-18 18:53:31,38.72,112.76,48.09,55,100,1.36,light rain,0.98,0.0
63,San Quintin,MX,2020-04-18 18:53:32,30.48,-115.95,62.74,57,23,16.8,few clouds,0.0,0.0
64,Bam,IR,2020-04-18 18:53:32,29.11,58.36,73.58,26,43,3.67,scattered clouds,0.0,0.0
65,Longido,TZ,2020-04-18 18:53:32,-2.73,36.68,64.69,59,100,5.82,light rain,0.38,0.0
66,Dengzhou,CN,2020-04-18 18:53:32,37.81,120.75,52.83,67,100,8.41,overcast clouds,0.0,0.0
67,Wolow,PL,2020-04-18 18:53:32,51.34,16.64,48.99,43,0,1.01,clear sky,0.0,0.0
68,Gladstone,AU,2020-04-18 18:53:33,-23.85,151.25,77.0,83,40,3.36,scattered clouds,0.0,0.0
69,Constantine,DZ,2020-04-18 18:53:33,36.37,6.61,69.8,68,40,5.82,scattered clouds,0.0,0.0
