City_ID,City,Country,Weather Description,Max Temp,Lat,Lng,Hotel Name
297,Ixtapa,MX,broken clouds,78.8,20.7,-105.2,Container Inn Puerto Vallarta
299,Calama,CL,clear sky,75.2,-22.47,-68.93,Park Hotel Calama
301,Port Blair,IN,clear sky,83.97,11.67,92.75,Hotel Sentinel
304,Bandarbeyla,SO,broken clouds,81.97,9.49,50.81,REER XOOSHLE GROUP
311,Bouillante,GP,few clouds,86.0,16.13,-61.77,Gîtes Dardanelle
315,Namatanai,PG,overcast clouds,81.41,-3.67,152.43,Namatanai Hotel
317,Nizwa,OM,clear sky,84.2,22.93,57.53,Orient Apartments
320,Caucaia,BR,scattered clouds,86.0,-3.74,-38.65,M.O.S. Logística - Filial Fortaleza
321,Catalina,US,overcast clouds,75.0,32.51,-110.92,Miraval Arizona Resort & Spa
326,Isangel,VU,broken clouds,75.2,-19.55,169.27,Volcano Sea View Tree House
329,Jacqueville,CI,few clouds,84.2,5.21,-4.41,Hotel Le Martin Pecheur
333,Anito,PH,scattered clouds,79.72,12.45,125.29,The Yellow House
340,Pathardi,IN,scattered clouds,87.26,19.17,75.18,Sunil TreDs
353,Sao Joao Da Barra,BR,broken clouds,78.8,-21.64,-41.05,Pousada Porto De Canoas
358,Banda Aceh,ID,scattered clouds,80.04,5.56,95.32,OYO 884 Rumoh PMI Hotel
360,Pontes E Lacerda,BR,broken clouds,80.46,-15.23,-59.34,Hotel Bressan
374,Noumea,NC,broken clouds,75.0,-22.28,166.46,Hôtel Le Lagon
377,Salalah,OM,scattered clouds,82.4,17.02,54.09,HAMDAN PLAZA HOTEL
378,Riyadh,SA,scattered clouds,82.4,24.69,46.72,InterContinental Riyadh
379,Kavaratti,IN,clear sky,84.74,10.57,72.64,Bismillah Hotel And Lodging
380,Parrita,CR,few clouds,86.0,9.52,-84.32,Beso del Viento
385,Yarada,IN,broken clouds,84.2,17.65,83.27,"D-26/2, Dolphin Hill,"
386,Dongli,CN,scattered clouds,75.2,23.57,116.82,Chenghai Shizhang Donghuaqiao Hostel
389,Amalapuram,IN,clear sky,79.54,16.58,82.02,swayamprabha service apartments
393,Hit,IQ,few clouds,78.75,33.64,42.83,بيت اسماعبل محمد حمد
399,Pemangkat,ID,broken clouds,76.1,1.17,108.97,Kost H.Syamsuddin
411,Awbari,LY,few clouds,87.67,26.59,12.78,فندق أوباري
418,Bien Hoa,VN,scattered clouds,82.4,10.95,106.82,OYO 991 Duy Anh Hotel
419,Kralendijk,BQ,few clouds,87.8,12.15,-68.27,Divi Flamingo Beach Resort & Casino
426,General Pico,AR,few clouds,80.94,-35.66,-63.76,Hotel Malargue
430,Atar,MR,clear sky,86.22,20.52,-13.05,Oumou Elghoura
436,Labuan,MY,broken clouds,78.8,5.28,115.24,Tiara Labuan Hotel
438,Carayao,PY,few clouds,86.97,-25.18,-56.4,Rancho Zelaya
442,Porto Novo,BJ,scattered clouds,86.0,6.5,2.6,Tour Eiffel Hotel Benin
444,Abu Kamal,SY,broken clouds,79.92,34.45,40.92,
447,Eldorado,BR,broken clouds,77.14,-23.79,-54.28,Villa Verde Hotel
448,Cockburn Town,TC,clear sky,79.07,21.46,-71.14,Osprey Beach Hotel
450,Merauke,ID,overcast clouds,77.63,-8.47,140.33,
451,Paramonga,PE,scattered clouds,76.01,-10.67,-77.83,"Av Douglas Stephen, Los Chalets Paramonga, Lima, Perú"
456,Ettaiyapuram,IN,clear sky,85.6,9.14,77.99,ஆனந்தா ஜோதிடம்
460,San Lazaro,BZ,few clouds,89.6,18.04,-88.66,
469,Maldonado,UY,few clouds,77.0,-34.67,-54.92,La Cimarrona
474,Marabba,SD,few clouds,88.68,12.35,32.18,
476,Kattivakkam,IN,few clouds,86.0,13.22,80.32,St. Joseph Thirumana mandapam
481,Saint-Pierre,RE,few clouds,77.0,-21.34,55.48,Lindsey Hôtel
